Nom d'établissement,Pays,Ville,Statut MLF,Comprendre un texte lu par l’enseignant(e),Comprendre des mots lu par l’enseignant(e),Comprendre des phrases lues par l’enseignant(e),Reconnaitre des lettres,Discriminer des sons,Lire des nombres,Résoudre des problèmes,Quantifier et dénombrer,Comparer des nombres,Reproduire un assemblage,Ecrire des nombres ,Placer un nombre sur une ligne numérique,Niveau scolaire,Comprendre un texte lu seul(e),Comprendre des phrases lues seul(e),Comprendre des mots et des phrases lus par l’enseignant(e),Écrire des syllabes,Lire,Reconnaitre des nombres,Calculer en ligne,Calculer mentalement,Ecrire des nombres,Reproduire des assemblages,Comprendre un texte lu par l'enseigant(e),Ecrire des mots dictés,Orthographe de base,Se reperer dans la phrase,"Nommer, lire, écrire, représenter des nombres",Calculer,Ordonner des nombres,Comprendre des textes à l'oral,Maîtriser l’orthographe grammaticale de base,Se repérer dans une phrase,Construire le lexique,Comprendre un texte lu seul(e) ,Écrire des mots (dictés),Lire et comprendre un texte,Comprendre le fonctionnement de la langue : Comprendre et mobiliser le lexique,Comprendre et s'exprimer à l'oral : comprendre un message oral,Comprendre le fonctionnement de la langue : Se repérer dans une phrase et identifier sa composition,Comprendre le fonctionnement de la langue : maîtriser l'orthographe,Automatismes : Mobiliser directement des procédures et des connaissances,"Résolution de problème : résoudre des problèmes en utilisant des nombres, des données et des grandeurs",Espaces et géométrie : connaître et utiliser des notions de géométrie,Grandeurs et mesures : Connaître des grandeurs et utiliser des mesures,Nombres et calcul : connaître les nombres et les utiliser dans les calculs,Connaître et utiliser des données et la notion de fonction,Calcul littéral : Utiliser des expressions littérales pour traduire ou résoudre des problèmes,Nombres et calcul : Connaître les nombres et les utiliser dans des calculs,Calcul littéral : Connaître et utiliser des données et la notion de fonction
Lycée français André Malraux,Espagne,Murcie,EPR,79.20,nan,nan,nan,nan,nan,80.80,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,108.49,nan,nan,nan,nan,nan,nan,nan,nan,nan,81.80,65.90,nan,nan,70.50,83.90,78.40,72.30,66.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français de Palma De Majorque,Espagne,Palma de Majorque,EPR,80.50,nan,nan,nan,nan,nan,64.90,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,87.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,64.80,56.80,nan,nan,59.40,73.60,76.10,67.10,66.70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Collège français international Marguerite Yourcenar,Espagne,Reus,EPR,56.40,nan,nan,nan,nan,nan,68.30,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,82.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,65.60,47.60,nan,nan,57.20,61.00,68.40,60.10,50.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée Français International Jules-Verne ,Espagne,Santa Cruz de Tenerife,EPR,74.00,nan,nan,nan,nan,nan,68.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,100.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,71.50,65.20,nan,nan,69.90,68.10,73.10,76.70,77.10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée Molière - Saragosse,Espagne,Saragosse,EPR,82.20,nan,nan,nan,nan,nan,76.70,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,105.18,nan,nan,nan,nan,nan,nan,nan,nan,nan,74.80,77.40,nan,nan,83.30,83.60,91.30,78.90,79.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français de Castilla y León,Espagne,Valladolid,EPR,78.60,nan,nan,nan,nan,nan,81.30,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,117.74,nan,nan,nan,nan,nan,nan,nan,nan,nan,67.40,58.10,nan,nan,70.70,74.80,76.90,72.60,63.20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée Molière - Villanueva de la Cañada,Espagne,Villanueva de la Cañada,EPR,75.40,nan,nan,nan,nan,nan,75.50,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,101.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,76.60,68.20,nan,nan,68.50,76.90,83.30,66.30,66.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée franco-éthiopien Guébré Mariam,Ethiopie,Addis-Abeba,EPR,68.00,nan,nan,nan,nan,nan,55.80,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,108.41,nan,nan,nan,nan,nan,nan,nan,nan,nan,65.20,53.80,nan,nan,63.10,67.10,62.70,57.80,64.40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École française de Thessalonique,Grèce,Thessalonique,EPR,70.30,nan,nan,nan,nan,nan,60.50,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,107.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,61.30,55.60,nan,nan,71.60,60.80,68.30,65.20,70.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français Victor Hugo,Italie,Florence,EPR,82.90,nan,nan,nan,nan,nan,68.90,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,111.27,nan,nan,nan,nan,nan,nan,nan,nan,nan,70.10,57.10,nan,nan,76.80,79.40,82.60,69.10,69.70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École MLF TotalEnergies ,Royaume-Uni,Aberdeen,EE,85.70,nan,nan,nan,nan,nan,86.70,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,89.76,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.20,63.20,nan,nan,81.30,81.30,100.00,86.90,87.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École MLF Bouygues Bâtiment International,Turkménistan,Ashgabat,EE,100.00,nan,nan,nan,nan,nan,91.70,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,102.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,74.60,76.80,nan,nan,75.00,93.80,87.50,76.10,79.20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français d'Al-Khobar,Arabie saoudite,Al-Khobar,EPA,71.60,nan,nan,nan,nan,nan,77.40,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,104.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,77.20,58.00,nan,nan,74.90,84.40,78.90,67.60,77.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
TFS - École internationale du Canada,Canada (hors Québec),Toronto,EPA,78.90,nan,nan,nan,nan,nan,84.70,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,111.10,nan,nan,nan,nan,nan,nan,nan,nan,nan,81.10,70.00,nan,nan,66.70,68.40,79.30,74.20,73.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée international Xavier,Corée du Sud,Séoul,EPA,66.40,nan,nan,nan,nan,nan,67.10,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,110.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,73.00,77.80,nan,nan,70.20,61.30,64.00,57.70,68.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée international Honoré de Balzac,Egypte,Le Caire,EPA,63.20,nan,nan,nan,nan,nan,63.60,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,120.09,nan,nan,nan,nan,nan,nan,nan,nan,nan,64.90,58.60,nan,nan,63.40,74.90,55.70,51.90,57.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ISE Molière,Egypte,Alexandrie,EPA,58.40,nan,nan,nan,nan,nan,69.10,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,68.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,62.30,49.30,nan,nan,59.10,77.50,51.10,46.40,44.70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français Théodore Monod,Emirats arabes unis,Abu Dhabi,EPA,75.40,nan,nan,nan,nan,nan,74.90,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,104.76,nan,nan,nan,nan,nan,nan,nan,nan,nan,73.60,64.00,nan,nan,75.20,81.10,75.10,65.50,72.10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français international de l'AFLEC,Emirats arabes unis,Dubaï,EPA,71.00,nan,nan,nan,nan,nan,72.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,100.82,nan,nan,nan,nan,nan,nan,nan,nan,nan,75.10,61.90,nan,nan,74.60,74.60,75.50,64.70,75.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée international de Boston,Etats-Unis,Boston,EPA,74.60,nan,nan,nan,nan,nan,82.50,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,111.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,84.30,64.70,nan,nan,73.00,78.10,84.60,72.80,73.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Section française de l'Awty International School,Etats-Unis,Houston,EPA,85.40,nan,nan,nan,nan,nan,87.70,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,106.09,nan,nan,nan,nan,nan,nan,nan,nan,nan,88.40,84.30,nan,nan,87.50,84.30,89.80,79.40,89.10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée international de Los Angeles,Etats-Unis,Los Angeles,EPA,75.00,nan,nan,nan,nan,nan,75.30,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,82.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,78.00,65.10,nan,nan,64.60,67.60,76.10,71.90,66.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École Bilingue de la Nouvelle-Orléans,Etats-Unis,Nouvelle-Orléans,EPA,88.00,nan,nan,nan,nan,nan,74.80,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,89.74,nan,nan,nan,nan,nan,nan,nan,nan,nan,78.10,68.50,nan,nan,63.70,80.50,74.30,72.40,67.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École internationale de la Péninsule,Etats-Unis,Palo Alto,EPA,84.50,nan,nan,nan,nan,nan,90.30,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,110.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,91.10,80.70,nan,nan,77.90,81.20,88.70,84.60,84.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École franco-américaine de Rhode Island,Etats-Unis,Providence,EPA,71.40,nan,nan,nan,nan,nan,55.20,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,110.23,nan,nan,nan,nan,nan,nan,nan,nan,nan,72.70,60.80,nan,nan,49.80,53.30,42.70,46.50,44.80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
The French American School of Tampa Bay,Etats-Unis,St Petersburg. Florida,EPA,80.00,nan,nan,nan,nan,nan,90.30,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,104.99,nan,nan,nan,nan,nan,nan,nan,nan,nan,82.60,66.10,nan,nan,81.30,84.20,87.50,79.10,78.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École franco-américaine de la Silicon Valley,Etats-Unis,Sunnyvale,EPA,84.00,nan,nan,nan,nan,nan,89.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,83.92,nan,nan,nan,nan,nan,nan,nan,nan,nan,83.80,80.00,nan,nan,86.80,81.50,85.30,81.50,82.40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Rochambeau - The French International School,Etats-Unis,Washington-Bethesda,EPA,78.90,nan,nan,nan,nan,nan,73.80,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,104.23,nan,nan,nan,nan,nan,nan,nan,nan,nan,72.40,65.70,nan,nan,78.70,80.90,84.80,74.50,83.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ecole française internationale Charles de Gaulle-Miras,Kazakhstan,Astana,EPA,85.70,nan,nan,nan,nan,nan,90.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,118.78,nan,nan,nan,nan,nan,nan,nan,nan,nan,98.60,93.30,nan,nan,93.80,100.00,100.00,79.40,91.70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée Montaigne,Liban,Beit Chabab,EPA,69.30,nan,nan,nan,nan,nan,65.50,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,103.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,67.40,62.60,nan,nan,65.50,71.10,66.80,61.50,75.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Etablissement scolaire français Blaise Pascal,RDC,Lubumbashi,EPA,81.60,nan,nan,nan,nan,nan,61.70,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,124.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,64.10,53.70,nan,nan,78.70,76.90,82.30,73.50,74.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français d'Agadir,Maroc,Agadir,EPR,80.00,nan,nan,nan,nan,nan,65.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,99.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,71.00,56.00,nan,nan,76.00,76.00,80.00,70.00,79.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe scolaire OSUI Louis Massignon,Maroc,Bouskoura,EPR,77.00,nan,nan,nan,nan,nan,73.75,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,100.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,78.50,62.25,nan,nan,75.75,82.25,80.75,70.75,79.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français international Alphonse Daudet,Maroc,Casablanca,EPR,88.00,nan,nan,nan,nan,nan,78.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,102.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,84.00,72.00,nan,nan,81.00,90.00,89.00,81.00,84.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ecole OSUI Odette du Puigaudeau,Maroc,Dakhla,EPR,60.00,nan,nan,nan,nan,nan,46.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,110.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.00,60.00,nan,nan,60.00,60.00,60.00,56.00,59.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée OSUI Jean Charcot,Maroc,El Jadida,EPR,79.00,nan,nan,nan,nan,nan,63.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,105.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,70.00,46.00,nan,nan,60.00,71.00,70.00,69.00,73.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe scolaire OSUI Eric Tabarly,Maroc,Essaouira,EPR,84.00,nan,nan,nan,nan,nan,73.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,92.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,83.00,69.00,nan,nan,72.00,66.00,64.00,86.00,81.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ecole OSUI Paul Pascon,Maroc,Laayoune,EPR,77.00,nan,nan,nan,nan,nan,80.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,103.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,71.00,75.00,nan,nan,78.00,86.00,79.00,68.00,82.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe scolaire OSUI Jacques Majorelle,Maroc,Marrakech,EPR,87.50,nan,nan,nan,nan,nan,75.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,116.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,74.00,79.50,nan,nan,72.50,83.50,77.00,81.50,79.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée OSUI André Malraux,Maroc,Rabat,EPR,81.00,nan,nan,nan,nan,nan,69.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,104.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,76.00,65.00,nan,nan,78.00,80.00,82.00,72.00,81.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe scolaire OSUI Le Détroit,Maroc,Tanger,EPR,81.00,nan,nan,nan,nan,nan,66.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,110.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,76.00,53.00,nan,nan,76.00,83.00,85.00,76.00,85.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe Scolaire SandrinéO,Maroc,Oujda,EPA,79.00,nan,nan,nan,nan,nan,65.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,114.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,65.00,54.00,nan,nan,66.00,74.00,74.00,65.00,79.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Comilog / Ecole de Moanda,Gabon,Moanda,EE,65.00,nan,nan,nan,nan,nan,49.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,65.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,55.40,59.70,nan,nan,53.00,57.00,65.00,53.00,58.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe Scolaire Grain de Soleil,Côte d'Ivoire,Abidjan,EPA,75.44,nan,nan,nan,nan,nan,54.88,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,87.37,nan,nan,nan,nan,nan,nan,nan,nan,nan,74.24,54.89,nan,nan,73.84,75.64,76.30,65.62,80.18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
APEH / Petite Ecole d'Hydra,Algérie,Alger,EE,89.10,nan,nan,nan,nan,nan,83.60,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,66.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,88.27,71.63,nan,nan,80.05,81.55,78.00,82.00,85.70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français de Bahreïn,Bahreïn,Muharraq,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,59.00,63.00,48.00,50.00,56.00,50.00,61.00,64.50,63.50,49.50,nan,nan,nan,nan
Lycée français d'Alexandrie,Egypte,Alexandrie,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,43.00,55.00,61.00,51.00,50.00,44.00,58.00,59.00,66.00,47.00,nan,nan,nan,nan
Lycée français Pierre Deschamps,Espagne,Alicante,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,58.00,63.00,76.00,48.00,53.00,36.00,61.00,58.00,68.00,48.00,nan,nan,nan,nan
Lycée français René Verneau,Espagne,Las Palmas,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,79.00,50.00,67.00,68.00,31.00,31.00,59.00,49.00,67.00,44.00,nan,nan,nan,nan
Lycée français de Palma De Majorque,Espagne,Palma de Majorque,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,56.00,59.50,49.50,66.50,47.50,nan,nan,nan,nan
Collège français international Marguerite Yourcenar,Espagne,Reus,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,47.00,57.00,66.00,42.00,44.00,29.00,46.00,51.00,51.00,39.00,nan,nan,nan,nan
Lycée Français International Jules-Verne ,Espagne,Santa Cruz de Tenerife,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,43.00,54.00,57.00,54.00,44.00,nan,nan,nan,nan
Lycée Molière - Villanueva de la Cañada,Espagne,Villanueva de la Cañada,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,51.00,61.00,53.00,64.00,44.00,nan,nan,nan,nan
Lycée français d'Agadir,Maroc,Agadir,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,58.00,65.00,77.00,50.00,54.00,51.00,55.00,52.00,57.00,52.00,nan,nan,nan,nan
Groupe scolaire OSUI Louis Massignon,Maroc,Bouskoura,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64.00,67.00,82.00,56.00,59.00,66.00,67.00,60.00,70.00,59.00,nan,nan,nan,nan
Lycée français international Alphonse Daudet,Maroc,Casablanca,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54.00,56.00,74.00,51.00,49.00,58.00,62.00,59.00,64.00,55.00,nan,nan,nan,nan
Ecole OSUI Odette du Puigaudeau,Maroc,Dakhla,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60.00,60.00,48.00,50.00,49.00,35.00,51.00,52.00,54.00,42.00,nan,nan,nan,nan
Lycée OSUI Jean Charcot,Maroc,El Jadida,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64.00,68.00,49.00,45.00,57.00,50.00,67.00,60.00,72.00,46.00,nan,nan,nan,nan
Ecole OSUI Paul Pascon,Maroc,Laayoune,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,75.00,61.00,57.00,68.00,57.00,nan,nan,nan,nan
